RM,LSTAT,PTRATIO,MEDV,PricePerRoom
6.575,4.98,15.3,504000.0,76653.99239543726
6.421,9.14,17.8,453600.0,70643.20199345896
7.185,4.03,17.8,728700.0,101419.62421711901
6.998,2.94,18.7,701400.0,100228.63675335809
7.147,5.33,18.7,760200.0,106366.30754162585
6.43,5.21,18.7,602700.0,93732.50388802489
6.012,12.43,15.2,480900.0,79990.01996007985
6.172,19.15,15.2,569100.0,92206.74011665587
5.631,29.93,15.2,346500.0,61534.36334576451
6.004,17.1,15.2,396900.0,66105.92938041306
6.377,20.45,15.2,315000.0,49396.26783754116
6.009,13.27,15.2,396900.0,66050.92361457813
5.889,15.71,15.2,455700.0,77381.55883851247
5.949,8.26,21.0,428400.0,72012.10287443268
6.096,10.26,21.0,382200.0,62696.850393700784
5.834,8.47,21.0,417900.0,71631.81350702778
5.935,6.58,21.0,485100.0,81735.46756529066
5.99,14.67,21.0,367500.0,61352.253756260434
5.456,11.69,21.0,424200.0,77749.26686217009
5.727,11.28,21.0,382200.0,66736.51126244107
5.57,21.02,21.0,285600.0,51274.68581687612
5.965,13.83,21.0,411600.0,69002.51466890193
6.142,18.72,21.0,319200.0,51970.04233148811
5.813,19.88,21.0,304500.0,52382.59074488216
5.924,16.3,21.0,327600.0,55300.47265361242
5.599,16.51,21.0,291900.0,52134.30969816038
5.813,14.81,21.0,348600.0,59969.034921727165
6.047,17.28,21.0,310800.0,51397.38713411609
6.495,12.8,21.0,386400.0,59491.9168591224
6.674,11.98,21.0,441000.0,66077.31495355109
5.713,22.6,21.0,266700.0,46683.00367582706
6.072,13.04,21.0,304500.0,50148.22134387352
5.95,27.71,21.0,277200.0,46588.23529411764
5.701,18.35,21.0,275100.0,48254.69215927031
6.096,20.34,21.0,283500.0,46505.90551181103
5.933,9.68,19.2,396900.0,66897.0166863307
5.841,11.41,19.2,420000.0,71905.49563430919
5.85,8.77,19.2,441000.0,75384.61538461539
5.966,10.13,19.2,518700.0,86942.67515923566
6.595,4.32,18.3,646800.0,98074.29871114482
7.024,1.98,18.3,732900.0,104342.25512528473
6.77,4.84,17.9,558600.0,82511.07828655835
6.169,5.81,17.9,531300.0,86124.16923326309
6.211,7.44,17.9,518700.0,83513.12188053453
6.069,9.55,17.9,445200.0,73356.40138408304
5.682,10.21,17.9,405300.0,71330.51742344245
5.786,14.15,17.9,420000.0,72589.00795022468
6.03,18.8,17.9,348600.0,57810.94527363184
5.399,30.81,17.9,302400.0,56010.37229116503
5.602,16.2,17.9,407400.0,72724.02713316672
5.963,13.45,16.8,413700.0,69377.82995136676
6.115,9.43,16.8,430500.0,70400.65412919052
6.511,5.28,16.8,525000.0,80632.77530333282
5.998,8.43,16.8,491400.0,81927.30910303433
5.888,14.8,21.1,396900.0,67408.28804347826
7.249,4.81,17.9,743400.0,102552.07614843427
6.383,5.77,17.3,518700.0,81262.72912423626
6.816,3.95,15.1,663600.0,97359.15492957746
6.145,6.86,19.7,489300.0,79625.71196094387
5.927,9.22,19.7,411600.0,69444.91310949891
5.741,13.15,19.7,392700.0,68402.71729663822
5.966,14.44,19.7,336000.0,56319.141803553466
6.456,6.73,19.7,466200.0,72211.89591078066
6.762,9.5,19.7,525000.0,77639.75155279503
7.104,8.05,18.6,693000.0,97550.67567567568
6.29,4.67,16.1,493500.0,78457.86963434023
5.787,10.24,16.1,407400.0,70399.17055469155
5.878,8.1,18.9,462000.0,78598.16264035385
5.594,13.09,18.9,365400.0,65319.98569896317
5.885,8.79,18.9,438900.0,74579.43925233645
